procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 16214832 993748 6134888    0    0     0  5044 9222 2335  8  1 91  0  0  0
 2  0      0 16163884 993752 6137036    0    0     0 12192 9437 2203  8  1 91  0  0  0
 2  0      0 16114220 993760 6139784    0    0     4  7408 10482 2620  7  1 91  0  0  0
 2  0      0 16169012 993764 6142684    0    0     0  4104 10100 2559  8  1 91  0  0  0
 2  0      0 16156036 993764 6148328    0    0     0 10292 12148 3203  7  2 91  0  0  0
 1  0      0 16160700 993948 6159544    0    0     0 102496 26313 20163  6  3 91  0  0  0
 3  0      0 16138996 993948 6177300    0    0   128  8080 29649 31430  4  3 93  0  0  0
 1  0      0 16112000 994104 6198236    0    0     0 39644 31856 35289  3  2 95  0  0  0
 2  0      0 16132972 994104 6230712    0    0     0 37496 41552 69974  4  2 94  0  0  0
 2  0      0 16091148 994124 6234092    0    0     0 39972 24674 32877  5  1 94  0  0  0
 1  0      0 16036296 994160 6233656    0    0     0   936 6597 2467  6  1 93  0  0  0
 1  0      0 15952668 995112 6239704    0    0     0 13216 13944 8360  4  1 93  1  0  0
 1  1      0 16038180 996164 6249428    0    0     0 15332 16675 9645  4  2 93  1  0  0
 2  0      0 16154636 996312 6253636    0    0     0  6788 14186 5332  7  2 91  0  0  0
 2  0      0 16183528 996312 6254980    0    0     0  4744 9845 2730  8  1 91  0  0  0
 2  0      0 16152980 996316 6258048    0    0     0  4108 11744 3441  8  1 91  0  0  0
 2  0      0 16112032 996316 6261660    0    0     0  4844 10744 3303  7  1 91  0  0  0
 2  0      0 16070528 996316 6263824    0    0     0  5172 10696 3433  8  1 91  0  0  0
 2  0      0 16066484 996316 6267028    0    0     0  4760 11854 4034  7  1 91  0  0  0
 2  0      0 16067216 996316 6268508    0    0     0  3620 11807 3864  8  1 91  0  0  0
 2  0      0 16079740 996316 6271000    0    0     0  4236 9015 2581  8  1 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 16124020 996316 6272724    0    0     0  4256 10708 3313  8  1 91  0  0  0
 2  0      0 16090528 996316 6274964    0    0     0  4988 10949 3661  8  1 91  0  0  0
 2  0      0 16087184 996324 6277484    0    0     0  5464 11846 4368  8  1 91  0  0  0
